"Asset_ID","Canonical_Name","Alias","Operator","Company Type","Status","Total Space (sqft)","Colocation Space (sqft)","Power Capacity (MW)","Acre","street_address","city","state","postal_code","latitude","longitude","estimated_mw","Modified","Created"
"DC-10157","NY9 New York Data Center","NY9 New York Data Center","Equinix","[""Carrier Neutral/Real Estate""]","[""Operational""]","55,721","35,894","1","0","111 8th Avenue","New York","NY",,"40.74084413","-74.00196705","1.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10156","NY2 Secaucus Data Center","NY2 Secaucus Data Center","Equinix","[""Carrier Neutral/Real Estate""]","[""Operational""]","183,900","131,037","6","0","275 Hartz Way","Secaucus","NJ",,"40.77744258","-74.07591697","6.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10155","Atlanta ATL13 Data Center","Atlanta ATL13 Data Center","Digital Realty","[""Carrier Neutral/Real Estate""]","[""Operational""]","153,000","0","9","0","56 Marietta Street NorthWest","Atlanta","GA",,"33.7554752","-84.39152739","9.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10154","Seattle SEA10 Data Center","Seattle SEA10 Data Center","Digital Realty","[""Carrier Neutral/Real Estate""]","[""Operational""]","400,400","400,400","0","0","Westin Building Exchange, 2001 6th Avenue","Seattle","WA","98121","47.61437945","-122.3387119","24.8","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10153","IAD55 Haymarket","IAD55 Haymarket","Amazon","[""Hyperscale""]","[""Operational""]","236,082","0","50","0","15395 John Marshall Hwy","Haymarket","VA","20169","38.81556984","-77.64860564","50.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10152","MSP1 Shakopee Data Center Campus","MSP1 Shakopee Data Center Campus","Csquare",,"[""Operational""]","50,000","28,900","10","0","4450 Dean Lakes Boulevard","Shakopee","MN",,"44.77954071","-93.46148306","10.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10151","New York EWR21 Data Center","New York EWR21 Data Center","Digital Realty","[""Carrier Neutral/Real Estate""]","[""Operational""]","215,000","214,900","30","0","2 Peekay Drive","Clifton","NJ",,"40.8304888","-74.12442045","30.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10150","Dallas DFW18 Data Center","Dallas DFW18 Data Center","Digital Realty","[""Carrier Neutral/Real Estate""]","[""Operational""]","458,500","240,000","60","0","1210 Integrity Drive","Richardson","TX",,"32.96519245","-96.71294534","60.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10149","Boston (BO1-Watertown) Data Center","Boston (BO1-Watertown) Data Center","Csquare",,"[""Operational""]","201,590","62,257","15","0","486 Arsenal Way","Watertown","MA",,"42.36635382","-71.1593098","15.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10148","Atlanta - Norcross Data Center","Atlanta - Norcross Data Center","Flexential","[""Carrier Neutral/Real Estate""]","[""Operational""]","32,740","0","1.8","0","2775 Northwoods Pkwy","Norcross","GA","30071","33.95479673","-84.19859803","1.8","4/14/2026 3:30 PM","2/7/2026 7:23 PM"
"DC-10147","IAD2 Sterling Data Center Campus","IAD2 Sterling Data Center Campus","Csquare",,"[""Operational""]","556,457","556,457","47","0","22810 International Drive","Sterling","VA",,"38.98443019","-77.4238185","47.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10146","Prime Dallas - 1515 Round Table","Prime Dallas - 1515 Round Table","Prime Data Centers",,"[""Operational""]","85,747","24,231","6","0","1515 Round Table Drive","Dallas","TX",,"32.83807623","-96.87827268","6.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10145","PHX1-PHX8 Phoenix Data Center","PHX1-PHX8 Phoenix Data Center","CyrusOne",,"[""Operational""]","1,446,438","180,000","81","0","2335 South Ellis Street","Chandler","AZ",,"33.27084161","-111.8828951","81.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10144","BCA Boca Raton Data Center","BCA Boca Raton Data Center","365 Data Centers","[""Carrier Neutral/Real Estate""]","[""Operational""]","49,850","30,400","2","0","3500 Northwest Boca Raton Boulevard","Boca Raton","FL",,"26.38230599","-80.08349696","2.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10143","DEN1 (Denver) Highlands Ranch Data Center Campus","DEN1 (Denver) Highlands Ranch Data Center Campus","Csquare",,"[""Operational""]","98,218","98,218","21","0","9180 Commerce Center Circle","Highlands Ranch","CO",,"39.55004668","-105.0334444","21.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10142","Washington DC (WDC1-Ashburn) Data Center","Washington DC (WDC1-Ashburn) Data Center","Csquare",,"[""Operational""]","164,453","96,644","10","0","21571 Beaumeade Cir","Ashburn","VA",,"39.02218983","-77.45358264","10.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10141","PHX1 Phoenix Data Center Campus","PHX1 Phoenix Data Center Campus","Csquare",,"[""Operational""]","145,000","145,000","27","0","615 North 48th Street","Phoenix","AZ",,"33.4552773","-111.9762213","27.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10140","DFW01  Dallas Data Center","DFW01  Dallas Data Center","Stack Infrastructure",,"[""Operational""]","294,000","247,000","82","0","6653 Pinecrest Drive","Plano","TX",,"33.06505318","-96.8109173","82.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10139","LA1 Los Angeles Data Center - Equinix","LA1 Los Angeles Data Center - Equinix","Equinix","[""Carrier Neutral/Real Estate""]","[""Operational""]","125,479","60,718","2","0","600 West 7th Street","Los Angeles","CA",,"34.04728487","-118.256859","2.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
